Pfolio Code ,Security ,Total Value (Pfolio)
SMSTAB,XMARVAR ,00056616081.53
STBTFF,SIMMB4  ,00001029968.14
STBTFF,STANCH01,00003304240.47
STDIF ,SIMMB4  ,00000000000.00
STDINN,SIMMB4  ,00000000000.00
STDINO,SIMMB4  ,00000000000.00
STFARF,SIMMB4  ,00000128465.22
STFARF,STANCH01,00002837494.79
STFIF ,SIMMB4  ,00049451232.56
STFIF ,STANCH01,00024701247.40
SWNPRO,SIMMB4  ,00000000000.00
SWNPRZ,SIMMB4  ,00001216178.37
SWNPRZ,STDCUR01,00000828334.42
SWNPRZ,XMARVAR ,00002377672.24
SYGMED,FNBCUR01,00003312304.15
SYGMED,SIMMB4  ,00009410451.89
SYGNIA,SIMMB4  ,00000000000.00
SYGNTR,FNBCUR01,00000189039.77
SYGNTR,SIMMB4  ,00000691789.41
TBWPRV,SIMMB4  ,00000000000.00
TELKOM,SIMMB4  ,00000000000.00
THDBPF,SIMMB4  ,00000000000.00
THDBPF,STDCUR01,00000784772.25
THDIRF,SIMMB4  ,00000604718.28
THDIRF,STDCUR01,00001718093.33
TONHUL,SIMMB4  ,00000000000.00
TONHUL,XXSFTR  ,20202020202.02
TOYPRO,SIMMB4  ,00000000000.00
TPRSBM,SIMMB4  ,00000000000.00
TPRSBM,STDCUR01,00000458129.51
UNIBND,NEDBANK ,00000554226.78
UNIBND,SIMMB4  ,00001396243.79
UNISWA,BNYUSD  ,00000334765.20
UNISWA,SIMMB4  ,00000575300.70
UNISWA,STDCUR01,00000434867.83
UNISWA,XMARVAR ,00000336905.83
UWRBND,SIMMB4  ,00000000000.00
UWRBND,STDCUR01,00002797777.70
WITS1 ,BNYUSD  ,00000296813.89
WITS1 ,SIMMB4  ,00000680376.07
WITS1 ,STDCUR01,00000300629.93
WITS1 ,XMARVAR ,00001497862.41
WITS2 ,SIMMB4  ,00001811649.72
WITS2 ,STDCUR01,00001721813.19
WITS3 ,BNYUSD  ,00000096170.44
WITS3 ,SIMMB4  ,00001899780.56
WITS3 ,STDCUR01,00000498427.00
WITS3 ,XMARVAR ,00003921467.71
WITS5 ,SIMMB4  ,00990728539.31
WITS5 ,STDCUR01,00037023690.78
