IMPVE2,I2046M7 ,07/08/2017,10/08/2017,ZAR,00012000000.0000,NBMN  ,              ,00015005776.80,S,002.520000
IMPVE2,I2046M7 ,07/08/2017,24/08/2017,ZAR,00012000000.0000,NBMN  ,              ,00015048945.60,P,002.517050
IMPVE2,R202M7  ,31/07/2017,10/08/2017,ZAR,00039180000.0000,SASY  ,              ,00092860561.10,P,002.557860
IMPVE2,R202M7  ,07/08/2017,10/08/2017,ZAR,00039180000.0000,SASY  ,              ,00093305696.84,S,002.520000
LIBMDS,ABK9    ,08/08/2017,18/08/2017,ZAR,                ,ZZINT ,              ,00000150539.22,I,
POLMED,IDCG07  ,08/08/2017,14/08/2017,ZAR,                ,ZZINT ,              ,00000443381.91,I,
POLMED,LGL02   ,03/08/2017,13/08/2017,ZAR,                ,ZZINT ,              ,00000191750.00,I,
POLMED,LGL04   ,04/08/2017,14/08/2017,ZAR,                ,ZZINT ,              ,00000229125.00,I,
POLMED,MBF046  ,07/08/2017,17/08/2017,ZAR,                ,ZZINT ,              ,00000153183.78,I,
POLMED,RES15   ,02/08/2017,14/08/2017,ZAR,                ,ZZINT ,              ,00000069858.73,I,
POLMED,SBS40A  ,02/08/2017,14/08/2017,ZAR,                ,ZZINT ,              ,00001144997.26,I,
PRI197,I2038M7 ,31/07/2017,10/08/2017,ZAR,00028291000.0000,SASY  ,              ,00036187037.90,P,002.448190
PRI197,I2038M7 ,07/08/2017,10/08/2017,ZAR,00028291000.0000,SASY  ,              ,00036176406.14,S,002.450000
PRI197,I2038M7 ,10/07/2017,16/08/2017,ZAR,00042437000.0000,RMB2  ,              ,00053689149.33,P,002.521850
PRI197,I2038M7 ,07/08/2017,17/08/2017,ZAR,00028291000.0000,SASY  ,              ,00036227717.53,P,002.448190
PRI202,I2033M7 ,10/07/2017,17/08/2017,ZAR,00004800000.0000,RMB2  ,              ,00004988083.20,P,002.548370
PRI202,I2038M7 ,31/07/2017,10/08/2017,ZAR,00031920000.0000,SASY  ,              ,00040828894.35,P,002.448190
PRI202,I2038M7 ,07/08/2017,10/08/2017,ZAR,00031920000.0000,SASY  ,              ,00040816898.81,S,002.450000
PRI202,I2038M7 ,10/07/2017,16/08/2017,ZAR,00047880000.0000,RMB2  ,              ,00060575358.06,P,002.521850
PRI202,I2038M7 ,07/08/2017,17/08/2017,ZAR,00031920000.0000,SASY  ,              ,00040874792.11,P,002.448190
PRI202,R202M7  ,31/07/2017,10/08/2017,ZAR,00202788000.0000,SASY  ,              ,00480628061.86,P,002.557860
PRI202,R202M7  ,07/08/2017,10/08/2017,ZAR,00202788000.0000,SASY  ,              ,00482931997.17,S,002.520000
PRI202,R202M7  ,10/07/2017,16/08/2017,ZAR,00109194000.0000,RMB2  ,              ,00259408091.03,P,002.547070
SAT197,I2038M7 ,10/07/2017,16/08/2017,ZAR,00011753000.0000,RMB2  ,              ,00014869302.07,P,002.521850
SAT202,I2033M7 ,10/07/2017,17/08/2017,ZAR,00000650000.0000,RMB2  ,              ,00000675469.61,P,002.548370
SAT202,R202M7  ,31/07/2017,10/08/2017,ZAR,00022430000.0000,SASY  ,              ,00053161367.68,P,002.557860
SAT202,R202M7  ,07/08/2017,10/08/2017,ZAR,00022430000.0000,SASY  ,              ,00053416201.63,S,002.520000
SAT202,R202M7  ,10/07/2017,16/08/2017,ZAR,00012078000.0000,RMB2  ,              ,00028693251.68,P,002.547070
SYGMED,LGL04   ,04/08/2017,14/08/2017,ZAR,                ,ZZINT ,              ,00000015076.43,I,
TMPEN ,I2025M7 ,10/07/2017,17/08/2017,ZAR,00062000000.0000,RMB2  ,              ,00078894758.20,P,002.558960
TMPEN ,I2029M7 ,10/07/2017,17/08/2017,ZAR,00020000000.0000,RMB2  ,              ,00019870512.00,P,002.542361
TMPEN ,I2033M7 ,10/07/2017,17/08/2017,ZAR,00001850000.0000,RMB2  ,              ,00001922490.41,P,002.548370
TMPEN ,I2038M7 ,10/07/2017,17/08/2017,ZAR,00024000000.0000,RMB2  ,              ,00030366602.40,P,002.522240
TMPEN ,I2046M7 ,10/07/2017,17/08/2017,ZAR,00043800000.0000,RMB2  ,              ,00054438490.02,P,002.555930
TMPEN ,I2050M7 ,10/07/2017,17/08/2017,ZAR,00021000000.0000,RMB2  ,              ,00027268413.90,P,002.587400
TMPEN ,I2050M7 ,17/07/2017,17/08/2017,ZAR,00007500000.0000,RMB2  ,              ,00009776301.75,P,002.570170
TMPEN ,R197M7  ,10/07/2017,17/08/2017,ZAR,00032017000.0000,RMB2  ,              ,00094490491.42,P,002.497060
TMPEN ,R202M7  ,10/07/2017,17/08/2017,ZAR,00052550000.0000,RMB2  ,              ,00124853776.23,P,002.547559
