,,,,,,,Detailed Daily MTM - Extract,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade date,19 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement,24 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Code,ISIN Code,Maturity ,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
ABN87,ZAG000108432,21-Dec-26,10.5,R186,195,10.595,100.36957,99.42025,0.94932,10.975,10.255,-0.02,6.1322465,5.823734165,-5.84525650,584.52564966,46.5652886,,Price,05-Apr-16,03-Apr-16,,,,Illiquid Methodology,
ABN91,ZAG000111394,11-Dec-18,9.167,JIBAR,185,0.000,101.0673636,100.0125308,1.054832877,100,100,0,,0,,,,,Price,08-Jun-17,17-Jul-17,,,,Price Traded Methodology,
ABN92,ZAG000112111,31-Jan-19,9.342,JIBAR,200,0.000,99.83062921,100.0097909,-0.179161644,100,100,0,,0,,,,,Price,14-Jul-17,20-Apr-16,,,,Price Traded Methodology,
ABS10,ZAG000084781,17-Mar-18,9.88,R203,130,8.690,104.17731,100.68547,3.49184,8.97,8.27,-0.02,0.6260465,0.599977448,-0.62504035,62.50403513,0.6577171,,Rate,07-Jul-17,11-Apr-17,,,,Illiquid Methodology,
ABS11,ZAG000114463,09-Apr-21,9.43,R208,130,8.940,104.22482,101.48624,2.73858,9.955,8.74,-0.1,3.1390465,3.004734816,-3.13167928,313.16792848,11.5097198,,Rate,06-Jul-17,31-Jan-17,,,,Illiquid Methodology,
ABS12,ZAG000126145,14-May-20,9.26,R207,158,9.090,102.17524,100.37398,1.80126,9.725,8.89,-0.06,2.4949147,2.386450477,-2.43836148,243.83614789,7.2806548,,Rate,13-Jul-17,17-Jul-17,,,,Illiquid Methodology,
ABS13,ZAG000126152,14-May-22,9.675,R208,188,9.520,102.427,100.54501,1.88199,10.185,9.32,-0.06,3.8900403,3.713287776,-3.80340902,380.34090152,17.5326423,,Rate,26-Apr-17,17-Jul-17,,,,Illiquid Methodology,
ABS14,ZAG000130931,11-Nov-20,9.3,R208,114,8.780,103.308,101.42252,1.88548,9.445,8.58,-0.07,2.8692432,2.748580562,-2.83950366,283.95036594,9.5745374,,Rate,05-Jul-17,26-Oct-16,,,,Illiquid Methodology,
ABS15,ZAG000130907,11-Nov-22,9.765,R2023,129,9.325,103.74428,101.76453,1.97975,9.935,9.115,-0.06,4.1936838,4.006863795,-4.15689195,415.68919510,20.5187217,,Rate,04-Jul-17,26-Oct-16,,,,Illiquid Methodology,
ABS16,ZAG000130956,11-Nov-25,10.395,R186,130,9.945,104.56283,102.45535,2.10748,11.21,9.765,-0.11,5.6787108,5.409712869,-5.65654877,565.65487705,39.5061401,,Rate,11-Jul-17,20-Jun-17,,,,Illiquid Methodology,
ABS17,ZAG000130980,11-Nov-27,10.635,R186,128.5,9.930,106.59055,104.43441,2.15614,11.225,9.67,-0.11,6.4564805,6.151079406,-6.55646896,655.64689620,53.0205877,,Rate,04-Jul-17,30-May-17,,,,Illiquid Methodology,
ABS18,ZAG000139668,26-Sep-23,9.84,R2023,156,9.595,104.30427,101.0692,3.23507,10.205,9.385,-0.06,4.6357630,4.423543467,-4.61394456,461.39445585,25.6289206,,Rate,26-Apr-17,17-Jul-17,,,,Illiquid Methodology,
ABS6,ZAG000038589,01-Jun-20,8.2,R207,118.5,8.695,99.94134,98.75066,1.19068,9.465,8.495,-0.08,2.5727467,2.465556668,-2.46411059,246.41105870,7.6711349,,Rate,18-Jul-17,19-Apr-17,,,,Illiquid Methodology,
ABS7,ZAG000043985,11-Sep-26,8.8,R186,135,9.995,96.1572,92.90241,3.25479,11.06,9.805,-0.09,6.1400083,5.847766227,-5.62304824,562.30482425,46.7679197,,Rate,18-Jul-17,20-Jun-17,,,,Illiquid Methodology,
